
Mime-Version: 1.0
Content-Transfer-Encoding: 7bit
X-X-X-X-bX-Folder: \ExMerge - Scholtes, Diana\Sent Items
X-Origin: SCHOLTES-D
X-FileName: 

	8-Nov				9-Nov		
							

	DJ-MC-O  - .25				DJ-MC/DJ-MC-O  - .25		
0100	2			0100	2		
0200	2			0200	2		
0300	2			0300	2		
0400	2			0400	2		
0500	2			0500	2		
0600	2			0600	1	1	
0700		3		0700	1	2	
0800		3		0800	1	2	
0900		3		0900	1	2	
1000		3		1000	1	2	
1100		3		1100	1	2	
1200		3		1200	1	2	
1300		3		1300	1	2	
1400		3		1400		3	
1500		3		1500		3	
1600		3		1600		3	
1700		3		1700	1	2	
1800		3		1800		3	
1900		3		1900	1	2	
2000		3		2000	1	2	
2100		3		2100		3	
2200		3		2200		3	
2300	2			2300	2		
2400	2			2400	2		
	16	48			25	39	
